range sp1 sp2 sp3 sp4 sp5 sp6 sp7 sp8 sp9 sp10 median_gnd mean_gnd qdist qscore_resolved qscore_unresolved both_resolved both_unresolved
0.5_3.5 AG-894-C14 AG-918-L21 AG-905-A10 AG-903-D02 AG-912-F16 AG-893-N22 AG-918-K09 AG-920-K11 AG-359-E10 AG-903-K22 2.74123 2.57203 0.666667 0 70 0 210
0.5_3.5 AG-915-E06 AG-916-M06 AG-903-D02 AG-894-C14 AG-918-L21 AG-893-N22 AG-918-K09 AG-920-K11 AG-359-E10 AG-903-K22 2.8474 2.71683 0.666667 0 70 0 182
0.5_3.5 AG-913-A04 AG-916-J06 AG-911-B23 AG-894-M23 AG-917-C08 AG-917-C11 AG-359-C09 AG-414-O11 AG-911-B04 AG-359-M21 3.3792 3.26982 0.666667 0 70 0 120
0.5_3.5 AG-915-E06 AG-905-A10 AG-916-M06 AG-912-F16 AG-894-C14 AG-918-L21 AG-893-N22 AG-918-K09 AG-917-I17 AG-359-E10 2.85769 2.70899 0.666667 0 70 0 155
0.5_3.5 AG-913-A04 AG-916-J06 AG-915-P01 AG-911-B04 AG-414-O11 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-C11 3.18431 3.11587 0.666667 0 70 0 120
0.5_3.5 AG-913-A04 AG-916-J06 AG-359-C09 AG-414-O11 AG-911-B04 AG-359-M21 AG-918-L07 AG-911-B23 AG-913-C03 AG-414-L09 3.55639 3.38506 0.666667 0 70 0 147
0.5_3.5 AG-913-A04 AG-916-J06 AG-915-P01 AG-359-C09 AG-414-O11 AG-918-L07 AG-911-B23 AG-894-M23 AG-917-C11 AG-414-L09 3.55639 3.35722 0.685714 0 66 12 131
0.5_3.5 AG-913-A04 AG-916-J06 AG-911-B04 AG-359-C09 AG-359-M21 AG-915-P01 AG-918-L07 AG-917-C11 AG-917-C08 AG-414-L09 3.49775 3.38939 0.666667 0 70 0 147
0.5_3.5 AG-913-A04 AG-916-J06 AG-359-M21 AG-414-O11 AG-918-L07 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-414-L09 3.44672 3.2853 0.666667 0 70 0 182
0.5_3.5 AG-913-A04 AG-916-J06 AG-915-P01 AG-359-C09 AG-414-O11 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-C11 3.27277 3.18058 0.690476 0 65 15 107
0.5_3.5 AG-893-N22 AG-918-K09 AG-917-I17 AG-359-E10 AG-903-K22 AG-915-E06 AG-916-M06 AG-903-D02 AG-905-A10 AG-912-F16 2.9332 2.76031 0.666667 0 70 0 155
0.5_3.5 AG-915-E06 AG-916-M06 AG-903-D02 AG-905-A10 AG-894-C14 AG-918-L21 AG-918-K09 AG-917-I17 AG-920-K11 AG-359-E10 2.79085 2.61001 0.666667 0 70 0 120
0.5_3.5 AG-915-E06 AG-905-A10 AG-916-M06 AG-912-F16 AG-894-C14 AG-918-L21 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-O11 2.89357 2.7878 0.666667 0 70 0 155
0.5_3.5 AG-915-E06 AG-916-M06 AG-903-D02 AG-894-C14 AG-918-L21 AG-893-N22 AG-917-I17 AG-920-K11 AG-359-E10 AG-920-O11 2.8474 2.70039 0.666667 0 70 0 182
0.5_3.5 AG-894-C14 AG-918-L21 AG-905-A10 AG-903-D02 AG-912-F16 AG-893-N22 AG-918-K09 AG-920-K11 AG-359-E10 AG-903-K22 2.74123 2.57203 0.666667 0 70 0 210
0.5_3.5 AG-894-C14 AG-918-L21 AG-905-A10 AG-903-D02 AG-912-F16 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-359-E10 2.74123 2.51354 0.666667 0 70 0 182
0.5_3.5 AG-913-A04 AG-911-B04 AG-359-C09 AG-359-M21 AG-915-P01 AG-918-L07 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-P07 3.29245 3.19343 0.666667 0 70 0 110
0.5_3.5 AG-913-A04 AG-916-J06 AG-359-C09 AG-414-O11 AG-911-B04 AG-359-M21 AG-915-P01 AG-918-L07 AG-894-M23 AG-913-C03 3.4172 3.29967 0.666667 0 70 0 120
0.5_3.5 AG-915-E06 AG-912-F16 AG-916-M06 AG-903-D02 AG-894-C14 AG-918-L21 AG-918-K09 AG-917-I17 AG-920-K11 AG-359-E10 2.83667 2.6667 0.690476 0 65 15 107
0.5_3.5 AG-913-A04 AG-916-J06 AG-359-M21 AG-911-B04 AG-918-L07 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-414-L09 3.44672 3.29415 0.666667 0 70 0 147
0.5_3.5 AG-894-C14 AG-918-L21 AG-912-F16 AG-916-M06 AG-903-D02 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-359-E10 2.85018 2.59545 0.666667 0 70 0 155
0.5_3.5 AG-359-C09 AG-414-O11 AG-911-B04 AG-359-M21 AG-915-P01 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C11 AG-916-J06 3.40477 3.32242 0.666667 0 70 0 110
0.5_3.5 AG-915-E06 AG-905-A10 AG-903-D02 AG-912-F16 AG-894-C14 AG-918-L21 AG-893-N22 AG-918-K09 AG-920-K11 AG-359-E10 2.8474 2.62859 0.666667 0 70 0 210
0.5_3.5 AG-911-B04 AG-414-O11 AG-359-M21 AG-915-P01 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-P07 AG-916-J06 3.29245 3.24307 0.666667 0 70 0 120
